alpha,beta,mach,CL0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,-0.565010378636555
-0.03490658503988659,-0.017453292519943295,0.01,-0.5471108129839024
-0.03490658503988659,0.0,0.01,-0.5398117699969928
-0.03490658503988659,0.017453292519943295,0.01,-0.5471108129839024
-0.03490658503988659,0.03490658503988659,0.01,-0.565010378636555
-0.017453292519943295,-0.03490658503988659,0.01,-0.27998516132442874
-0.017453292519943295,-0.017453292519943295,0.01,-0.26848342234884287
-0.017453292519943295,0.0,0.01,-0.26398236247999535
-0.017453292519943295,0.017453292519943295,0.01,-0.26848342234884287
-0.017453292519943295,0.03490658503988659,0.01,-0.27998516132442874
0.0,-0.03490658503988659,0.01,-0.0
0.0,-0.017453292519943295,0.01,-0.0
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,-0.0
0.0,0.03490658503988659,0.01,-0.0
0.017453292519943295,-0.03490658503988659,0.01,0.27998516132442874
0.017453292519943295,-0.017453292519943295,0.01,0.26848342234884287
0.017453292519943295,0.0,0.01,0.26398236247999535
0.017453292519943295,0.017453292519943295,0.01,0.26848342234884287
0.017453292519943295,0.03490658503988659,0.01,0.27998516132442874
0.03490658503988659,-0.03490658503988659,0.01,0.565010378636555
0.03490658503988659,-0.017453292519943295,0.01,0.5471108129839024
0.03490658503988659,0.0,0.01,0.5398117699969928
0.03490658503988659,0.017453292519943295,0.01,0.5471108129839024
0.03490658503988659,0.03490658503988659,0.01,0.565010378636555
-0.03490658503988659,-0.03490658503988659,0.1,-0.5718221235458115
-0.03490658503988659,-0.017453292519943295,0.1,-0.553922557893159
-0.03490658503988659,0.0,0.1,-0.5466235149062493
-0.03490658503988659,0.017453292519943295,0.1,-0.553922557893159
-0.03490658503988659,0.03490658503988659,0.1,-0.5718221235458115
-0.017453292519943295,-0.03490658503988659,0.1,-0.28339164397881217
-0.017453292519943295,-0.017453292519943295,0.1,-0.2718899050032262
-0.017453292519943295,0.0,0.1,-0.26739059037502244
-0.017453292519943295,0.017453292519943295,0.1,-0.2718899050032262
-0.017453292519943295,0.03490658503988659,0.1,-0.28339164397881217
0.0,-0.03490658503988659,0.1,-0.0
0.0,-0.017453292519943295,0.1,-0.0
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,-0.0
0.0,0.03490658503988659,0.1,-0.0
0.017453292519943295,-0.03490658503988659,0.1,0.28339164397881217
0.017453292519943295,-0.017453292519943295,0.1,0.2718899050032262
0.017453292519943295,0.0,0.1,0.26739059037502244
0.017453292519943295,0.017453292519943295,0.1,0.2718899050032262
0.017453292519943295,0.03490658503988659,0.1,0.28339164397881217
0.03490658503988659,-0.03490658503988659,0.1,0.5718221235458115
0.03490658503988659,-0.017453292519943295,0.1,0.553922557893159
0.03490658503988659,0.0,0.1,0.5466235149062493
0.03490658503988659,0.017453292519943295,0.1,0.553922557893159
0.03490658503988659,0.03490658503988659,0.1,0.5718221235458115
-0.03490658503988659,-0.03490658503988659,0.2,-0.5733840288804046
-0.03490658503988659,-0.017453292519943295,0.2,-0.5554844632277521
-0.03490658503988659,0.0,0.2,-0.5482888492732148
-0.03490658503988659,0.017453292519943295,0.2,-0.5554844632277521
-0.03490658503988659,0.03490658503988659,0.2,-0.5733840288804046
-0.017453292519943295,-0.03490658503988659,0.2,-0.2842229364665244
-0.017453292519943295,-0.017453292519943295,0.2,-0.2727211974909384
-0.017453292519943295,0.0,0.2,-0.26812189809321907
-0.017453292519943295,0.017453292519943295,0.2,-0.2727211974909384
-0.017453292519943295,0.03490658503988659,0.2,-0.2842229364665244
0.0,-0.03490658503988659,0.2,-0.0
0.0,-0.017453292519943295,0.2,-0.0
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,-0.0
0.0,0.03490658503988659,0.2,-0.0
0.017453292519943295,-0.03490658503988659,0.2,0.2842229364665244
0.017453292519943295,-0.017453292519943295,0.2,0.2727211974909384
0.017453292519943295,0.0,0.2,0.26812189809321907
0.017453292519943295,0.017453292519943295,0.2,0.2727211974909384
0.017453292519943295,0.03490658503988659,0.2,0.2842229364665244
0.03490658503988659,-0.03490658503988659,0.2,0.5733840288804046
0.03490658503988659,-0.017453292519943295,0.2,0.5554844632277521
0.03490658503988659,0.0,0.2,0.5482888492732148
0.03490658503988659,0.017453292519943295,0.2,0.5554844632277521
0.03490658503988659,0.03490658503988659,0.2,0.5733840288804046
-0.03490658503988659,-0.03490658503988659,0.5,-0.5886331475612896
-0.03490658503988659,-0.017453292519943295,0.5,-0.5710333991567428
-0.03490658503988659,0.0,0.5,-0.563934234335237
-0.03490658503988659,0.017453292519943295,0.5,-0.5710333991567428
-0.03490658503988659,0.03490658503988659,0.5,-0.5886331475612896
-0.017453292519943295,-0.03490658503988659,0.5,-0.2918509419878332
-0.017453292519943295,-0.017453292519943295,0.5,-0.2804491877817629
-0.017453292519943295,0.0,0.5,-0.2760498579230748
-0.017453292519943295,0.017453292519943295,0.5,-0.2804491877817629
-0.017453292519943295,0.03490658503988659,0.5,-0.2918509419878332
0.0,-0.03490658503988659,0.5,-0.0
0.0,-0.017453292519943295,0.5,-0.0
0.0,0.0,0.5,-0.0
0.0,0.017453292519943295,0.5,-0.0
0.0,0.03490658503988659,0.5,-0.0
0.017453292519943295,-0.03490658503988659,0.5,0.2918509419878332
0.017453292519943295,-0.017453292519943295,0.5,0.2804491877817629
0.017453292519943295,0.0,0.5,0.2760498579230748
0.017453292519943295,0.017453292519943295,0.5,0.2804491877817629
0.017453292519943295,0.03490658503988659,0.5,0.2918509419878332
0.03490658503988659,-0.03490658503988659,0.5,0.5886331475612896
0.03490658503988659,-0.017453292519943295,0.5,0.5710333991567428
0.03490658503988659,0.0,0.5,0.563934234335237
0.03490658503988659,0.017453292519943295,0.5,0.5710333991567428
0.03490658503988659,0.03490658503988659,0.5,0.5886331475612896
-0.03490658503988659,-0.03490658503988659,0.75,-0.5985458317184575
-0.03490658503988659,-0.017453292519943295,0.75,-0.5834445603814584
-0.03490658503988659,0.0,0.75,-0.57724833725394
-0.03490658503988659,0.017453292519943295,0.75,-0.5834445603814584
-0.03490658503988659,0.03490658503988659,0.75,-0.5985458317184575
-0.017453292519943295,-0.03490658503988659,0.75,-0.29695967645982135
-0.017453292519943295,-0.017453292519943295,0.75,-0.2871576785660012
-0.017453292519943295,0.0,0.75,-0.28325652731424755
-0.017453292519943295,0.017453292519943295,0.75,-0.2871576785660012
-0.017453292519943295,0.03490658503988659,0.75,-0.29695967645982135
0.0,-0.03490658503988659,0.75,-0.0
0.0,-0.017453292519943295,0.75,-0.0
0.0,0.0,0.75,-0.0
0.0,0.017453292519943295,0.75,-0.0
0.0,0.03490658503988659,0.75,-0.0
0.017453292519943295,-0.03490658503988659,0.75,0.29695967645982135
0.017453292519943295,-0.017453292519943295,0.75,0.2871576785660012
0.017453292519943295,0.0,0.75,0.28325652731424755
0.017453292519943295,0.017453292519943295,0.75,0.2871576785660012
0.017453292519943295,0.03490658503988659,0.75,0.29695967645982135
0.03490658503988659,-0.03490658503988659,0.75,0.5985458317184575
0.03490658503988659,-0.017453292519943295,0.75,0.5834445603814584
0.03490658503988659,0.0,0.75,0.57724833725394
0.03490658503988659,0.017453292519943295,0.75,0.5834445603814584
0.03490658503988659,0.03490658503988659,0.75,0.5985458317184575
-0.03490658503988659,-0.03490658503988659,1,-0.6341224894965418
-0.03490658503988659,-0.017453292519943295,1,-0.6195139336737118
-0.03490658503988659,0.0,1,-0.6136140378446288
-0.03490658503988659,0.017453292519943295,1,-0.6195139336737118
-0.03490658503988659,0.03490658503988659,1,-0.6341224894965418
-0.017453292519943295,-0.03490658503988659,1,-0.3145554191512742
-0.017453292519943295,-0.017453292519943295,1,-0.3050516303253573
-0.017453292519943295,0.0,1,-0.30115047907360365
-0.017453292519943295,0.017453292519943295,1,-0.3050516303253573
-0.017453292519943295,0.03490658503988659,1,-0.3145554191512742
0.0,-0.03490658503988659,1,-0.0
0.0,-0.017453292519943295,1,-0.0
0.0,0.0,1,-0.0
0.0,0.017453292519943295,1,-0.0
0.0,0.03490658503988659,1,-0.0
0.017453292519943295,-0.03490658503988659,1,0.3145554191512742
0.017453292519943295,-0.017453292519943295,1,0.3050516303253573
0.017453292519943295,0.0,1,0.30115047907360365
0.017453292519943295,0.017453292519943295,1,0.3050516303253573
0.017453292519943295,0.03490658503988659,1,0.3145554191512742
0.03490658503988659,-0.03490658503988659,1,0.6341224894965418
0.03490658503988659,-0.017453292519943295,1,0.6195139336737118
0.03490658503988659,0.0,1,0.6136140378446288
0.03490658503988659,0.017453292519943295,1,0.6195139336737118
0.03490658503988659,0.03490658503988659,1,0.6341224894965418
