alpha,beta,mach,Cm0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,2.4405
-0.03490658503988659,-0.017453292519943295,0.01,2.3658
-0.03490658503988659,0.0,0.01,2.3355
-0.03490658503988659,0.017453292519943295,0.01,2.3658
-0.03490658503988659,0.03490658503988659,0.01,2.4405
-0.017453292519943295,-0.03490658503988659,0.01,1.2186
-0.017453292519943295,-0.017453292519943295,0.01,1.172
-0.017453292519943295,0.0,0.01,1.1558
-0.017453292519943295,0.017453292519943295,0.01,1.172
-0.017453292519943295,0.03490658503988659,0.01,1.2186
0.0,-0.03490658503988659,0.01,0.0
0.0,-0.017453292519943295,0.01,-0.0
0.0,0.0,0.01,0.0
0.0,0.017453292519943295,0.01,-0.0
0.0,0.03490658503988659,0.01,-0.0
0.017453292519943295,-0.03490658503988659,0.01,-1.2186
0.017453292519943295,-0.017453292519943295,0.01,-1.172
0.017453292519943295,0.0,0.01,-1.1558
0.017453292519943295,0.017453292519943295,0.01,-1.172
0.017453292519943295,0.03490658503988659,0.01,-1.2186
0.03490658503988659,-0.03490658503988659,0.01,-2.4405
0.03490658503988659,-0.017453292519943295,0.01,-2.3658
0.03490658503988659,0.0,0.01,-2.3355
0.03490658503988659,0.017453292519943295,0.01,-2.3658
0.03490658503988659,0.03490658503988659,0.01,-2.4405
-0.03490658503988659,-0.03490658503988659,0.1,2.4432
-0.03490658503988659,-0.017453292519943295,0.1,2.3686
-0.03490658503988659,0.0,0.1,2.3384
-0.03490658503988659,0.017453292519943295,0.1,2.3686
-0.03490658503988659,0.03490658503988659,0.1,2.4432
-0.017453292519943295,-0.03490658503988659,0.1,1.22
-0.017453292519943295,-0.017453292519943295,0.1,1.1735
-0.017453292519943295,0.0,0.1,1.1573
-0.017453292519943295,0.017453292519943295,0.1,1.1735
-0.017453292519943295,0.03490658503988659,0.1,1.22
0.0,-0.03490658503988659,0.1,0.0
0.0,-0.017453292519943295,0.1,-0.0
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,-0.0
0.0,0.03490658503988659,0.1,-0.0
0.017453292519943295,-0.03490658503988659,0.1,-1.22
0.017453292519943295,-0.017453292519943295,0.1,-1.1735
0.017453292519943295,0.0,0.1,-1.1573
0.017453292519943295,0.017453292519943295,0.1,-1.1735
0.017453292519943295,0.03490658503988659,0.1,-1.22
0.03490658503988659,-0.03490658503988659,0.1,-2.4432
0.03490658503988659,-0.017453292519943295,0.1,-2.3686
0.03490658503988659,0.0,0.1,-2.3384
0.03490658503988659,0.017453292519943295,0.1,-2.3686
0.03490658503988659,0.03490658503988659,0.1,-2.4432
-0.03490658503988659,-0.03490658503988659,0.2,2.4509
-0.03490658503988659,-0.017453292519943295,0.2,2.3766
-0.03490658503988659,0.0,0.2,2.3464
-0.03490658503988659,0.017453292519943295,0.2,2.3766
-0.03490658503988659,0.03490658503988659,0.2,2.4509
-0.017453292519943295,-0.03490658503988659,0.2,1.2239
-0.017453292519943295,-0.017453292519943295,0.2,1.1775
-0.017453292519943295,0.0,0.2,1.1614
-0.017453292519943295,0.017453292519943295,0.2,1.1775
-0.017453292519943295,0.03490658503988659,0.2,1.2239
0.0,-0.03490658503988659,0.2,0.0
0.0,-0.017453292519943295,0.2,-0.0
0.0,0.0,0.2,0.0
0.0,0.017453292519943295,0.2,-0.0
0.0,0.03490658503988659,0.2,-0.0
0.017453292519943295,-0.03490658503988659,0.2,-1.2239
0.017453292519943295,-0.017453292519943295,0.2,-1.1775
0.017453292519943295,0.0,0.2,-1.1614
0.017453292519943295,0.017453292519943295,0.2,-1.1775
0.017453292519943295,0.03490658503988659,0.2,-1.2239
0.03490658503988659,-0.03490658503988659,0.2,-2.4509
0.03490658503988659,-0.017453292519943295,0.2,-2.3766
0.03490658503988659,0.0,0.2,-2.3464
0.03490658503988659,0.017453292519943295,0.2,-2.3766
0.03490658503988659,0.03490658503988659,0.2,-2.4509
-0.03490658503988659,-0.03490658503988659,0.5,2.53
-0.03490658503988659,-0.017453292519943295,0.5,2.458
-0.03490658503988659,0.0,0.5,2.4287
-0.03490658503988659,0.017453292519943295,0.5,2.458
-0.03490658503988659,0.03490658503988659,0.5,2.53
-0.017453292519943295,-0.03490658503988659,0.5,1.2638
-0.017453292519943295,-0.017453292519943295,0.5,1.2188
-0.017453292519943295,0.0,0.5,1.2031
-0.017453292519943295,0.017453292519943295,0.5,1.2188
-0.017453292519943295,0.03490658503988659,0.5,1.2638
0.0,-0.03490658503988659,0.5,0.0
0.0,-0.017453292519943295,0.5,-0.0
0.0,0.0,0.5,0.0
0.0,0.017453292519943295,0.5,-0.0
0.0,0.03490658503988659,0.5,-0.0
0.017453292519943295,-0.03490658503988659,0.5,-1.2638
0.017453292519943295,-0.017453292519943295,0.5,-1.2188
0.017453292519943295,0.0,0.5,-1.2031
0.017453292519943295,0.017453292519943295,0.5,-1.2188
0.017453292519943295,0.03490658503988659,0.5,-1.2638
0.03490658503988659,-0.03490658503988659,0.5,-2.53
0.03490658503988659,-0.017453292519943295,0.5,-2.458
0.03490658503988659,0.0,0.5,-2.4287
0.03490658503988659,0.017453292519943295,0.5,-2.458
0.03490658503988659,0.03490658503988659,0.5,-2.53
-0.03490658503988659,-0.03490658503988659,0.75,2.5821
-0.03490658503988659,-0.017453292519943295,0.75,2.5246
-0.03490658503988659,0.0,0.75,2.5011
-0.03490658503988659,0.017453292519943295,0.75,2.5246
-0.03490658503988659,0.03490658503988659,0.75,2.5821
-0.017453292519943295,-0.03490658503988659,0.75,1.2911
-0.017453292519943295,-0.017453292519943295,0.75,1.255
-0.017453292519943295,0.0,0.75,1.2425
-0.017453292519943295,0.017453292519943295,0.75,1.255
-0.017453292519943295,0.03490658503988659,0.75,1.2911
0.0,-0.03490658503988659,0.75,0.0
0.0,-0.017453292519943295,0.75,0.0
0.0,0.0,0.75,0.0
0.0,0.017453292519943295,0.75,-0.0
0.0,0.03490658503988659,0.75,-0.0
0.017453292519943295,-0.03490658503988659,0.75,-1.2911
0.017453292519943295,-0.017453292519943295,0.75,-1.255
0.017453292519943295,0.0,0.75,-1.2425
0.017453292519943295,0.017453292519943295,0.75,-1.255
0.017453292519943295,0.03490658503988659,0.75,-1.2911
0.03490658503988659,-0.03490658503988659,0.75,-2.5821
0.03490658503988659,-0.017453292519943295,0.75,-2.5246
0.03490658503988659,0.0,0.75,-2.5011
0.03490658503988659,0.017453292519943295,0.75,-2.5246
0.03490658503988659,0.03490658503988659,0.75,-2.5821
-0.03490658503988659,-0.03490658503988659,1,2.8519
-0.03490658503988659,-0.017453292519943295,1,2.8041
-0.03490658503988659,0.0,1,2.7843
-0.03490658503988659,0.017453292519943295,1,2.8041
-0.03490658503988659,0.03490658503988659,1,2.8519
-0.017453292519943295,-0.03490658503988659,1,1.4277
-0.017453292519943295,-0.017453292519943295,1,1.3973
-0.017453292519943295,0.0,1,1.387
-0.017453292519943295,0.017453292519943295,1,1.3973
-0.017453292519943295,0.03490658503988659,1,1.4277
0.0,-0.03490658503988659,1,0.0
0.0,-0.017453292519943295,1,0.0
0.0,0.0,1,0.0
0.0,0.017453292519943295,1,-0.0
0.0,0.03490658503988659,1,-0.0
0.017453292519943295,-0.03490658503988659,1,-1.4277
0.017453292519943295,-0.017453292519943295,1,-1.3973
0.017453292519943295,0.0,1,-1.387
0.017453292519943295,0.017453292519943295,1,-1.3973
0.017453292519943295,0.03490658503988659,1,-1.4277
0.03490658503988659,-0.03490658503988659,1,-2.8519
0.03490658503988659,-0.017453292519943295,1,-2.8041
0.03490658503988659,0.0,1,-2.7843
0.03490658503988659,0.017453292519943295,1,-2.8041
0.03490658503988659,0.03490658503988659,1,-2.8519
