alpha,beta,mach,CD0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.711081516744381
-0.03490658503988659,-0.026179938779914945,0.01,0.7015890224435836
-0.03490658503988659,-0.017453292519943295,0.01,0.6949291747881436
-0.03490658503988659,-0.008726646259971648,0.01,0.6908761943733236
-0.03490658503988659,0.0,0.01,0.6895245445508635
-0.03490658503988659,0.008726646259971648,0.01,0.6908761943733236
-0.03490658503988659,0.017453292519943295,0.01,0.6949291747881436
-0.03490658503988659,0.026179938779914945,0.01,0.7015890224435836
-0.03490658503988659,0.03490658503988659,0.01,0.711081516744381
-0.026179938779914945,-0.03490658503988659,0.01,0.7015889372120103
-0.026179938779914945,-0.026179938779914945,0.01,0.6924398949895327
-0.026179938779914945,-0.017453292519943295,0.01,0.6858843027852842
-0.026179938779914945,-0.008726646259971648,0.01,0.6819786228313766
-0.026179938779914945,0.0,0.01,0.6806816041674651
-0.026179938779914945,0.008726646259971648,0.01,0.6819786228313766
-0.026179938779914945,0.017453292519943295,0.01,0.6858843027852842
-0.026179938779914945,0.026179938779914945,0.01,0.6924398949895327
-0.026179938779914945,0.03490658503988659,0.01,0.7015889372120103
-0.017453292519943295,-0.03490658503988659,0.01,0.6949291065075489
-0.017453292519943295,-0.026179938779914945,0.01,0.6858842861837842
-0.017453292519943295,-0.017453292519943295,0.01,0.6796106628850613
-0.017453292519943295,-0.008726646259971648,0.01,0.6757299420642617
-0.017453292519943295,0.0,0.01,0.6744771882332766
-0.017453292519943295,0.008726646259971648,0.01,0.6757299420642617
-0.017453292519943295,0.017453292519943295,0.01,0.6796106628850613
-0.017453292519943295,0.026179938779914945,0.01,0.6858842861837842
-0.017453292519943295,0.03490658503988659,0.01,0.6949291065075489
-0.008726646259971648,-0.03490658503988659,0.01,0.6908761721052027
-0.008726646259971648,-0.026179938779914945,0.01,0.6819786161309446
-0.008726646259971648,-0.017453292519943295,0.01,0.6757299409309072
-0.008726646259971648,-0.008726646259971648,0.01,0.6720307877839193
-0.008726646259971648,0.0,0.01,0.670809308456789
-0.008726646259971648,0.008726646259971648,0.01,0.6720307877839193
-0.008726646259971648,0.017453292519943295,0.01,0.6757299409309072
-0.008726646259971648,0.026179938779914945,0.01,0.6819786161309446
-0.008726646259971648,0.03490658503988659,0.01,0.6908761721052027
0.0,-0.03490658503988659,0.01,0.6895245445508635
0.0,-0.026179938779914945,0.01,0.6806816041674651
0.0,-0.017453292519943295,0.01,0.6744771882332766
0.0,-0.008726646259971648,0.01,0.670809308456789
0.0,0.0,0.01,0.6695
0.0,0.008726646259971648,0.01,0.670809308456789
0.0,0.017453292519943295,0.01,0.6744771882332766
0.0,0.026179938779914945,0.01,0.6806816041674651
0.0,0.03490658503988659,0.01,0.6895245445508635
0.008726646259971648,-0.03490658503988659,0.01,0.6908761721052027
0.008726646259971648,-0.026179938779914945,0.01,0.6819786161309446
0.008726646259971648,-0.017453292519943295,0.01,0.6757299409309072
0.008726646259971648,-0.008726646259971648,0.01,0.6720307877839193
0.008726646259971648,0.0,0.01,0.670809308456789
0.008726646259971648,0.008726646259971648,0.01,0.6720307877839193
0.008726646259971648,0.017453292519943295,0.01,0.6757299409309072
0.008726646259971648,0.026179938779914945,0.01,0.6819786161309446
0.008726646259971648,0.03490658503988659,0.01,0.6908761721052027
0.017453292519943295,-0.03490658503988659,0.01,0.6949291065075489
0.017453292519943295,-0.026179938779914945,0.01,0.6858842861837842
0.017453292519943295,-0.017453292519943295,0.01,0.6796106628850613
0.017453292519943295,-0.008726646259971648,0.01,0.6757299420642617
0.017453292519943295,0.0,0.01,0.6744771882332766
0.017453292519943295,0.008726646259971648,0.01,0.6757299420642617
0.017453292519943295,0.017453292519943295,0.01,0.6796106628850613
0.017453292519943295,0.026179938779914945,0.01,0.6858842861837842
0.017453292519943295,0.03490658503988659,0.01,0.6949291065075489
0.026179938779914945,-0.03490658503988659,0.01,0.7015889372120103
0.026179938779914945,-0.026179938779914945,0.01,0.6924398949895327
0.026179938779914945,-0.017453292519943295,0.01,0.6858843027852842
0.026179938779914945,-0.008726646259971648,0.01,0.6819786228313766
0.026179938779914945,0.0,0.01,0.6806816041674651
0.026179938779914945,0.008726646259971648,0.01,0.6819786228313766
0.026179938779914945,0.017453292519943295,0.01,0.6858843027852842
0.026179938779914945,0.026179938779914945,0.01,0.6924398949895327
0.026179938779914945,0.03490658503988659,0.01,0.7015889372120103
0.03490658503988659,-0.03490658503988659,0.01,0.711081516744381
0.03490658503988659,-0.026179938779914945,0.01,0.7015890224435836
0.03490658503988659,-0.017453292519943295,0.01,0.6949291747881436
0.03490658503988659,-0.008726646259971648,0.01,0.6908761943733236
0.03490658503988659,0.0,0.01,0.6895245445508635
0.03490658503988659,0.008726646259971648,0.01,0.6908761943733236
0.03490658503988659,0.017453292519943295,0.01,0.6949291747881436
0.03490658503988659,0.026179938779914945,0.01,0.7015890224435836
0.03490658503988659,0.03490658503988659,0.01,0.711081516744381
-0.03490658503988659,-0.03490658503988659,0.1,0.5100685617258744
-0.03490658503988659,-0.026179938779914945,0.1,0.5006118955639213
-0.03490658503988659,-0.017453292519943295,0.1,0.49380686858769657
-0.03490658503988659,-0.008726646259971648,0.1,0.4897282926665715
-0.03490658503988659,0.0,0.1,0.4883681107699411
-0.03490658503988659,0.008726646259971648,0.1,0.4897282926665715
-0.03490658503988659,0.017453292519943295,0.1,0.49380686858769657
-0.03490658503988659,0.026179938779914945,0.1,0.5006118955639213
-0.03490658503988659,0.03490658503988659,0.1,0.5100685617258744
-0.026179938779914945,-0.03490658503988659,0.1,0.5006118111293438
-0.026179938779914945,-0.026179938779914945,0.1,0.49129877028705665
-0.026179938779914945,-0.017453292519943295,0.1,0.4847022539293086
-0.026179938779914945,-0.008726646259971648,0.1,0.4807666086085916
-0.026179938779914945,0.0,0.1,0.4794610554292086
-0.026179938779914945,0.008726646259971648,0.1,0.4807666086085916
-0.026179938779914945,0.017453292519943295,0.1,0.4847022539293086
-0.026179938779914945,0.026179938779914945,0.1,0.49129877028705665
-0.026179938779914945,0.03490658503988659,0.1,0.5006118111293438
-0.017453292519943295,-0.03490658503988659,0.1,0.4938068013700124
-0.017453292519943295,-0.026179938779914945,0.1,0.48470223752709524
-0.017453292519943295,-0.017453292519943295,0.1,0.4782824772506751
-0.017453292519943295,-0.008726646259971648,0.1,0.4744743729251838
-0.017453292519943295,0.0,0.1,0.4732130829202262
-0.017453292519943295,0.008726646259971648,0.1,0.4744743729251838
-0.017453292519943295,0.017453292519943295,0.1,0.4782824772506751
-0.017453292519943295,0.026179938779914945,0.1,0.48470223752709524
-0.017453292519943295,0.03490658503988659,0.1,0.4938068013700124
-0.008726646259971648,-0.03490658503988659,0.1,0.48972827066417324
-0.008726646259971648,-0.026179938779914945,0.1,0.4807666020078182
-0.008726646259971648,-0.017453292519943295,0.1,0.47447437185828023
-0.008726646259971648,-0.008726646259971648,0.1,0.4706496154294143
-0.008726646259971648,0.0,0.1,0.4694187224587646
-0.008726646259971648,0.008726646259971648,0.1,0.4706496154294143
-0.008726646259971648,0.017453292519943295,0.1,0.47447437185828023
-0.008726646259971648,0.026179938779914945,0.1,0.4807666020078182
-0.008726646259971648,0.03490658503988659,0.1,0.48972827066417324
0.0,-0.03490658503988659,0.1,0.4883681107699411
0.0,-0.026179938779914945,0.1,0.4794610554292086
0.0,-0.017453292519943295,0.1,0.4732130829202262
0.0,-0.008726646259971648,0.1,0.4694187224587646
0.0,0.0,0.1,0.4681
0.0,0.008726646259971648,0.1,0.4694187224587646
0.0,0.017453292519943295,0.1,0.4732130829202262
0.0,0.026179938779914945,0.1,0.4794610554292086
0.0,0.03490658503988659,0.1,0.4883681107699411
0.008726646259971648,-0.03490658503988659,0.1,0.48972827066417324
0.008726646259971648,-0.026179938779914945,0.1,0.4807666020078182
0.008726646259971648,-0.017453292519943295,0.1,0.47447437185828023
0.008726646259971648,-0.008726646259971648,0.1,0.4706496154294143
0.008726646259971648,0.0,0.1,0.4694187224587646
0.008726646259971648,0.008726646259971648,0.1,0.4706496154294143
0.008726646259971648,0.017453292519943295,0.1,0.47447437185828023
0.008726646259971648,0.026179938779914945,0.1,0.4807666020078182
0.008726646259971648,0.03490658503988659,0.1,0.48972827066417324
0.017453292519943295,-0.03490658503988659,0.1,0.4938068013700124
0.017453292519943295,-0.026179938779914945,0.1,0.48470223752709524
0.017453292519943295,-0.017453292519943295,0.1,0.4782824772506751
0.017453292519943295,-0.008726646259971648,0.1,0.4744743729251838
0.017453292519943295,0.0,0.1,0.4732130829202262
0.017453292519943295,0.008726646259971648,0.1,0.4744743729251838
0.017453292519943295,0.017453292519943295,0.1,0.4782824772506751
0.017453292519943295,0.026179938779914945,0.1,0.48470223752709524
0.017453292519943295,0.03490658503988659,0.1,0.4938068013700124
0.026179938779914945,-0.03490658503988659,0.1,0.5006118111293438
0.026179938779914945,-0.026179938779914945,0.1,0.49129877028705665
0.026179938779914945,-0.017453292519943295,0.1,0.4847022539293086
0.026179938779914945,-0.008726646259971648,0.1,0.4807666086085916
0.026179938779914945,0.0,0.1,0.4794610554292086
0.026179938779914945,0.008726646259971648,0.1,0.4807666086085916
0.026179938779914945,0.017453292519943295,0.1,0.4847022539293086
0.026179938779914945,0.026179938779914945,0.1,0.49129877028705665
0.026179938779914945,0.03490658503988659,0.1,0.5006118111293438
0.03490658503988659,-0.03490658503988659,0.1,0.5100685617258744
0.03490658503988659,-0.026179938779914945,0.1,0.5006118955639213
0.03490658503988659,-0.017453292519943295,0.1,0.49380686858769657
0.03490658503988659,-0.008726646259971648,0.1,0.4897282926665715
0.03490658503988659,0.0,0.1,0.4883681107699411
0.03490658503988659,0.008726646259971648,0.1,0.4897282926665715
0.03490658503988659,0.017453292519943295,0.1,0.49380686858769657
0.03490658503988659,0.026179938779914945,0.1,0.5006118955639213
0.03490658503988659,0.03490658503988659,0.1,0.5100685617258744
-0.03490658503988659,-0.03490658503988659,0.2,0.4951914979492876
-0.03490658503988659,-0.026179938779914945,0.2,0.48561088001986685
-0.03490658503988659,-0.017453292519943295,0.2,0.4787846686990288
-0.03490658503988659,-0.008726646259971648,0.2,0.47469390365601727
-0.03490658503988659,0.0,0.2,0.4733296585270065
-0.03490658503988659,0.008726646259971648,0.2,0.47469390365601727
-0.03490658503988659,0.017453292519943295,0.2,0.4787846686990288
-0.03490658503988659,0.026179938779914945,0.2,0.48561088001986685
-0.03490658503988659,0.03490658503988659,0.2,0.4951914979492876
-0.026179938779914945,-0.03490658503988659,0.2,0.48561079717906824
-0.026179938779914945,-0.026179938779914945,0.2,0.4762719312113748
-0.026179938779914945,-0.017453292519943295,0.2,0.46965247951995587
-0.026179938779914945,-0.008726646259971648,0.2,0.46570464192709293
-0.026179938779914945,0.0,0.2,0.4643976421600471
-0.026179938779914945,0.008726646259971648,0.2,0.46570464192709293
-0.026179938779914945,0.017453292519943295,0.2,0.46965247951995587
-0.026179938779914945,0.026179938779914945,0.2,0.4762719312113748
-0.026179938779914945,0.03490658503988659,0.2,0.48561079717906824
-0.017453292519943295,-0.03490658503988659,0.2,0.47878460094916053
-0.017453292519943295,-0.026179938779914945,0.2,0.46965246271890315
-0.017453292519943295,-0.017453292519943295,0.2,0.4632115080150328
-0.017453292519943295,-0.008726646259971648,0.2,0.45939295443601535
-0.017453292519943295,0.0,0.2,0.4581293446485145
-0.017453292519943295,0.008726646259971648,0.2,0.45939295443601535
-0.017453292519943295,0.017453292519943295,0.2,0.4632115080150328
-0.017453292519943295,0.026179938779914945,0.2,0.46965246271890315
-0.017453292519943295,0.03490658503988659,0.2,0.47878460094916053
-0.008726646259971648,-0.03490658503988659,0.2,0.47469388152053005
-0.008726646259971648,-0.026179938779914945,0.2,0.465704635226585
-0.008726646259971648,-0.017453292519943295,0.2,0.45939295330264834
-0.008726646259971648,-0.008726646259971648,0.2,0.4556577388112281
-0.008726646259971648,0.0,0.2,0.45432278803469495
-0.008726646259971648,0.008726646259971648,0.2,0.4556577388112281
-0.008726646259971648,0.017453292519943295,0.2,0.45939295330264834
-0.008726646259971648,0.026179938779914945,0.2,0.465704635226585
-0.008726646259971648,0.03490658503988659,0.2,0.47469388152053005
0.0,-0.03490658503988659,0.2,0.4733296585270065
0.0,-0.026179938779914945,0.2,0.4643976421600471
0.0,-0.017453292519943295,0.2,0.4581293446485145
0.0,-0.008726646259971648,0.2,0.45432278803469495
0.0,0.0,0.2,0.4531
0.0,0.008726646259971648,0.2,0.45432278803469495
0.0,0.017453292519943295,0.2,0.4581293446485145
0.0,0.026179938779914945,0.2,0.4643976421600471
0.0,0.03490658503988659,0.2,0.4733296585270065
0.008726646259971648,-0.03490658503988659,0.2,0.47469388152053005
0.008726646259971648,-0.026179938779914945,0.2,0.465704635226585
0.008726646259971648,-0.017453292519943295,0.2,0.45939295330264834
0.008726646259971648,-0.008726646259971648,0.2,0.4556577388112281
0.008726646259971648,0.0,0.2,0.45432278803469495
0.008726646259971648,0.008726646259971648,0.2,0.4556577388112281
0.008726646259971648,0.017453292519943295,0.2,0.45939295330264834
0.008726646259971648,0.026179938779914945,0.2,0.465704635226585
0.008726646259971648,0.03490658503988659,0.2,0.47469388152053005
0.017453292519943295,-0.03490658503988659,0.2,0.47878460094916053
0.017453292519943295,-0.026179938779914945,0.2,0.46965246271890315
0.017453292519943295,-0.017453292519943295,0.2,0.4632115080150328
0.017453292519943295,-0.008726646259971648,0.2,0.45939295443601535
0.017453292519943295,0.0,0.2,0.4581293446485145
0.017453292519943295,0.008726646259971648,0.2,0.45939295443601535
0.017453292519943295,0.017453292519943295,0.2,0.4632115080150328
0.017453292519943295,0.026179938779914945,0.2,0.46965246271890315
0.017453292519943295,0.03490658503988659,0.2,0.47878460094916053
0.026179938779914945,-0.03490658503988659,0.2,0.48561079717906824
0.026179938779914945,-0.026179938779914945,0.2,0.4762719312113748
0.026179938779914945,-0.017453292519943295,0.2,0.46965247951995587
0.026179938779914945,-0.008726646259971648,0.2,0.46570464192709293
0.026179938779914945,0.0,0.2,0.4643976421600471
0.026179938779914945,0.008726646259971648,0.2,0.46570464192709293
0.026179938779914945,0.017453292519943295,0.2,0.46965247951995587
0.026179938779914945,0.026179938779914945,0.2,0.4762719312113748
0.026179938779914945,0.03490658503988659,0.2,0.48561079717906824
0.03490658503988659,-0.03490658503988659,0.2,0.4951914979492876
0.03490658503988659,-0.026179938779914945,0.2,0.48561088001986685
0.03490658503988659,-0.017453292519943295,0.2,0.4787846686990288
0.03490658503988659,-0.008726646259971648,0.2,0.47469390365601727
0.03490658503988659,0.0,0.2,0.4733296585270065
0.03490658503988659,0.008726646259971648,0.2,0.47469390365601727
0.03490658503988659,0.017453292519943295,0.2,0.4787846686990288
0.03490658503988659,0.026179938779914945,0.2,0.48561088001986685
0.03490658503988659,0.03490658503988659,0.2,0.4951914979492876
-0.03490658503988659,-0.03490658503988659,0.3,0.49317559960129576
-0.03490658503988659,-0.026179938779914945,0.3,0.48365593995646555
-0.03490658503988659,-0.017453292519943295,0.3,0.47679968060747513
-0.03490658503988659,-0.008726646259971648,0.3,0.4726947238065899
-0.03490658503988659,0.0,0.3,0.47132167648169293
-0.03490658503988659,0.008726646259971648,0.3,0.4726947238065899
-0.03490658503988659,0.017453292519943295,0.3,0.47679968060747513
-0.03490658503988659,0.026179938779914945,0.3,0.48365593995646555
-0.03490658503988659,0.03490658503988659,0.3,0.49317559960129576
-0.026179938779914945,-0.03490658503988659,0.3,0.48365585631697094
-0.026179938779914945,-0.026179938779914945,0.3,0.4742728255600983
-0.026179938779914945,-0.017453292519943295,0.3,0.46762855291930977
-0.026179938779914945,-0.008726646259971648,0.3,0.4636639019567973
-0.026179938779914945,0.0,0.3,0.4623480979793834
-0.026179938779914945,0.008726646259971648,0.3,0.4636639019567973
-0.026179938779914945,0.017453292519943295,0.3,0.46762855291930977
-0.026179938779914945,0.026179938779914945,0.3,0.4742728255600983
-0.026179938779914945,0.03490658503988659,0.3,0.48365585631697094
-0.017453292519943295,-0.03490658503988659,0.3,0.47679961285655426
-0.017453292519943295,-0.026179938779914945,0.3,0.4676285363173541
-0.017453292519943295,-0.017453292519943295,0.3,0.4611575204478879
-0.017453292519943295,-0.008726646259971648,0.3,0.4573221500648966
-0.017453292519943295,0.0,0.3,0.45605235261705457
-0.017453292519943295,0.008726646259971648,0.3,0.4573221500648966
-0.017453292519943295,0.017453292519943295,0.3,0.4611575204478879
-0.017453292519943295,0.026179938779914945,0.3,0.4676285363173541
-0.017453292519943295,0.03490658503988659,0.3,0.47679961285655426
-0.008726646259971648,-0.03490658503988659,0.3,0.47269470206945874
-0.008726646259971648,-0.026179938779914945,0.3,0.4636638951565093
-0.008726646259971648,-0.017453292519943295,0.3,0.4573221488650584
-0.008726646259971648,-0.008726646259971648,0.3,0.45356837037454406
-0.008726646259971648,0.0,0.3,0.45222810391755924
-0.008726646259971648,0.008726646259971648,0.3,0.45356837037454406
-0.008726646259971648,0.017453292519943295,0.3,0.4573221488650584
-0.008726646259971648,0.026179938779914945,0.3,0.4636638951565093
-0.008726646259971648,0.03490658503988659,0.3,0.47269470206945874
0.0,-0.03490658503988659,0.3,0.47132167648169293
0.0,-0.026179938779914945,0.3,0.4623480979793834
0.0,-0.017453292519943295,0.3,0.45605235261705457
0.0,-0.008726646259971648,0.3,0.45222810391755924
0.0,0.0,0.3,0.4509
0.0,0.008726646259971648,0.3,0.45222810391755924
0.0,0.017453292519943295,0.3,0.45605235261705457
0.0,0.026179938779914945,0.3,0.4623480979793834
0.0,0.03490658503988659,0.3,0.47132167648169293
0.008726646259971648,-0.03490658503988659,0.3,0.47269470206945874
0.008726646259971648,-0.026179938779914945,0.3,0.4636638951565093
0.008726646259971648,-0.017453292519943295,0.3,0.4573221488650584
0.008726646259971648,-0.008726646259971648,0.3,0.45356837037454406
0.008726646259971648,0.0,0.3,0.45222810391755924
0.008726646259971648,0.008726646259971648,0.3,0.45356837037454406
0.008726646259971648,0.017453292519943295,0.3,0.4573221488650584
